"","date","variable","value"
"125",1963-06-14,"sadness",0.339367343921612
"126",1963-07-12,"sadness",0.275179183784685
"127",1963-08-09,"sadness",0.108025908652817
"128",1963-09-06,"sadness",0.381207841859381
"129",1963-10-04,"sadness",0.445526816124316
"130",1963-11-01,"sadness",0.644441288438171
"131",1963-11-29,"sadness",0.532526451741102
"132",1963-12-27,"sadness",0.234283162917696
"133",1964-01-24,"sadness",0.216131535002967
"134",1964-02-21,"sadness",0.211067435577384
"135",1964-03-20,"sadness",0.15741848652244
"136",1964-04-17,"sadness",0.301024916913246
"137",1964-05-15,"sadness",0.162269835406868
"138",1964-06-12,"sadness",0.1314906649206
"139",1964-07-10,"sadness",0.468072287136387
"140",1964-08-07,"sadness",0.0530903485988321
"141",1964-09-04,"sadness",0.121081529962309
"142",1964-10-02,"sadness",0.472682895343082
"143",1964-10-30,"sadness",0.18303262288667
"144",1964-11-27,"sadness",0.385624377884925
"145",1964-12-25,"sadness",0.088036453606134
"146",1965-01-22,"sadness",0.0843001982029907
"147",1965-02-19,"sadness",0.176245795031028
"148",1965-03-19,"sadness",0.135628157005969
"149",1965-04-16,"sadness",0.189456790578694
"150",1965-05-14,"sadness",0.261965555533346
"151",1965-06-11,"sadness",0.323998489547997
"152",1965-07-09,"sadness",0.325332711793813
"153",1965-08-06,"sadness",0.271732632253635
"154",1965-09-03,"sadness",0.0959166720243225
"155",1965-10-01,"sadness",0.195861808738961
"156",1965-10-29,"sadness",0.08495301861445
"157",1965-11-26,"sadness",0.399467339961255
"158",1965-12-24,"sadness",0.182550226962999
"159",1960-01-01,"fear",0.45194358223213
"160",1960-01-29,"fear",0.491729132855401
"161",1960-02-26,"fear",0.456878356356375
"162",1960-03-25,"fear",0.176052851384449
"163",1960-04-22,"fear",0.469220817697152
"164",1960-05-20,"fear",0.647780275223271
"165",1960-06-17,"fear",0.709328485658017
"166",1960-07-15,"fear",0.260313257901081
"167",1960-08-12,"fear",0.511136765103101
"168",1960-09-09,"fear",0.1439480393653
"169",1960-10-07,"fear",0.089517842691174
"170",1960-11-04,"fear",0.128418373654237
"171",1960-12-02,"fear",0.0789013470416516
"172",1960-12-30,"fear",0.218768452767007
"173",1961-01-27,"fear",0.338599772786624
"174",1961-02-24,"fear",0.307041951163098
"175",1961-03-24,"fear",0.191332351012559
"176",1961-04-21,"fear",0.22965600198735
"177",1961-05-19,"fear",0.409360964161823
"178",1961-06-16,"fear",0.321152097062518
"179",1961-07-14,"fear",0.303539276797636
"180",1961-08-11,"fear",0.369222409646059
"181",1961-09-08,"fear",0.111877201298281
"182",1961-10-06,"fear",0.197568013744155
"183",1961-11-03,"fear",0.124422404101674
"184",1961-12-01,"fear",0.236286367897312
"185",1961-12-29,"fear",0.262294558533864
"186",1962-01-26,"fear",0.318253226652198
"187",1962-02-23,"fear",0.491689632824358
"188",1962-03-23,"fear",0.400911360445693
"189",1962-04-20,"fear",0.47243115093736
"190",1962-05-18,"fear",0.104475349910473
"191",1962-06-15,"fear",0.267601352767207
"192",1962-07-13,"fear",0.597042597290799
"193",1962-08-10,"fear",0.14693475188583
"194",1962-09-07,"fear",0.211672274944679
"195",1962-10-05,"fear",0.0549964462660506
"196",1962-11-02,"fear",0.282714860698556
"197",1962-11-30,"fear",0.260594102494705
"198",1962-12-28,"fear",0.0792286155068406
"199",1963-01-25,"fear",0.181741965939365
"200",1963-02-22,"fear",0.326681991311175
"201",1963-03-22,"fear",0.153460688900576
"202",1963-04-19,"fear",0.48508732145762
"203",1963-05-17,"fear",0.352459358705572
"204",1963-06-14,"fear",0.373503512939338
"205",1963-07-12,"fear",0.203450607616938
"206",1963-08-09,"fear",0.17150414391596
"207",1963-09-06,"fear",0.426054595888473
"208",1963-10-04,"fear",0.666045625366173
"209",1963-11-01,"fear",0.334890511317361
"210",1963-11-29,"fear",0.589235559999158
"211",1963-12-27,"fear",0.47972162231686
"212",1964-01-24,"fear",0.166928725093095
"213",1964-02-21,"fear",0.305778510111225
"214",1964-03-20,"fear",0.36216349027296
"215",1964-04-17,"fear",0.271124718279026
"216",1964-05-15,"fear",0.269967320516961
"217",1964-06-12,"fear",0.147981358736358
"218",1964-07-10,"fear",0.208691293330539
"219",1964-08-07,"fear",0.0580091983694449
"220",1964-09-04,"fear",0.0957116735797765
"221",1964-10-02,"fear",0.290376699734394
"222",1964-10-30,"fear",0.204255980620554
"223",1964-11-27,"fear",0.109894308680949
"224",1964-12-25,"fear",0.107285321926437
"225",1965-01-22,"fear",0.133859242424332
"226",1965-02-19,"fear",0.115242021352065
"227",1965-03-19,"fear",0.077361327995985
"228",1965-04-16,"fear",0.18783459932918
"229",1965-05-14,"fear",0.185742037589082
"230",1965-06-11,"fear",0.145727869368426
"231",1965-07-09,"fear",0.328566803733214
"232",1965-08-06,"fear",0.11270990343536
"233",1965-09-03,"fear",0.151813467502879
"234",1965-10-01,"fear",0.291721376687526
"235",1965-10-29,"fear",0.0707987656586369
"236",1965-11-26,"fear",0.313977970987024
"237",1965-12-24,"fear",0.0789920619644775
"238",1960-01-01,"disgust",0.492216259695544
"239",1960-01-29,"disgust",0.590885215225183
"240",1960-02-26,"disgust",0.433646297126111
"241",1960-03-25,"disgust",0.267848340468538
"242",1960-04-22,"disgust",0.513734888250801
"243",1960-05-20,"disgust",0.675923572078142
"244",1960-06-17,"disgust",0.745523723043886
"245",1960-07-15,"disgust",0.423072901383109
"246",1960-08-12,"disgust",0.526165939186183
"247",1960-09-09,"disgust",0.232850484090671
"248",1960-10-07,"disgust",0.299460262991974
"249",1960-11-04,"disgust",0.320536189033666
"250",1960-12-02,"disgust",0.115665125591419
"251",1960-12-30,"disgust",0.349884119028167
"252",1961-01-27,"disgust",0.283510506059284
"253",1961-02-24,"disgust",0.23328015576989
"254",1961-03-24,"disgust",0.142271485075087
"255",1961-04-21,"disgust",0.273672163166623
"256",1961-05-19,"disgust",0.391040840921325
"257",1961-06-16,"disgust",0.350262445343446
"258",1961-07-14,"disgust",0.428940452576687
"259",1961-08-11,"disgust",0.4236268502338
"260",1961-09-08,"disgust",0.287100940049088
"261",1961-10-06,"disgust",0.163543593102666
"262",1961-11-03,"disgust",0.278591958474645
"263",1961-12-01,"disgust",0.318360034152625
"264",1961-12-29,"disgust",0.461378975289263
"265",1962-01-26,"disgust",0.464052036682834
"266",1962-02-23,"disgust",0.390356074313919
"267",1962-03-23,"disgust",0.309767127827103
"268",1962-04-20,"disgust",0.390727617886802
"269",1962-05-18,"disgust",0.237344188066262
"270",1962-06-15,"disgust",0.16662680609627
"271",1962-07-13,"disgust",0.595869651569394
"272",1962-08-10,"disgust",0.0965871779382376
"273",1962-09-07,"disgust",0.131995604343954
"274",1962-10-05,"disgust",0.0392689909841355
"275",1962-11-02,"disgust",0.120086619229329
"276",1962-11-30,"disgust",0.113600276442875
"277",1962-12-28,"disgust",0.188607072499813
"278",1963-01-25,"disgust",0.297605375877191
"279",1963-02-22,"disgust",0.355994306372174
"280",1963-03-22,"disgust",0.214266322292542
"281",1963-04-19,"disgust",0.515482162285532
"282",1963-05-17,"disgust",0.525163310665936
"283",1963-06-14,"disgust",0.315295766014643
"284",1963-07-12,"disgust",0.19282790034676
"285",1963-08-09,"disgust",0.234590944887193
"286",1963-09-06,"disgust",0.268592463475016
"287",1963-10-04,"disgust",0.640133030229539
"288",1963-11-01,"disgust",0.172695093342716
"289",1963-11-29,"disgust",0.509918136221077
"290",1963-12-27,"disgust",0.517566317508312
"291",1964-01-24,"disgust",0.234122490339652
"292",1964-02-21,"disgust",0.30148883108849
"293",1964-03-20,"disgust",0.401248936452192
"294",1964-04-17,"disgust",0.167415365377415
"295",1964-05-15,"disgust",0.375058247195266
"296",1964-06-12,"disgust",0.237995120404329
"297",1964-07-10,"disgust",0.253027704482665
"298",1964-08-07,"disgust",0.237022049603372
"299",1964-09-04,"disgust",0.0451246856570692
"300",1964-10-02,"disgust",0.269851698794151
"301",1964-10-30,"disgust",0.463117907541518
"302",1964-11-27,"disgust",0.139183817021313
"303",1964-12-25,"disgust",0.299550467429394
"304",1965-01-22,"disgust",0.267707471865846
"305",1965-02-19,"disgust",0.257194470215094
"306",1965-03-19,"disgust",0.224725971494627
"307",1965-04-16,"disgust",0.263498252295946
"308",1965-05-14,"disgust",0.359226500708997
"309",1965-06-11,"disgust",0.148727222945044
"310",1965-07-09,"disgust",0.214970521985999
"311",1965-08-06,"disgust",0.181003001746362
"312",1965-09-03,"disgust",0.163588200324858
"313",1965-10-01,"disgust",0.345165049730004
"314",1965-10-29,"disgust",0.296032702529842
"315",1965-11-26,"disgust",0.235882877350231
"316",1965-12-24,"disgust",0.328097678053387
"317",1960-01-01,"hope",0.233625862932634
"318",1960-01-29,"hope",0.269896905126929
"319",1960-02-26,"hope",0.53559643254945
"320",1960-03-25,"hope",0.254110031927187
"321",1960-04-22,"hope",0.24257144962021
"322",1960-05-20,"hope",0.401677788899199
"323",1960-06-17,"hope",0.386726143806391
"324",1960-07-15,"hope",0.132939986329555
"325",1960-08-12,"hope",0.416243025858888
"326",1960-09-09,"hope",0.129130266343891
"327",1960-10-07,"hope",0.113933915563038
"328",1960-11-04,"hope",0.102611346016822
"329",1960-12-02,"hope",0.286466057647182
"330",1960-12-30,"hope",0.15818426450911
"331",1961-01-27,"hope",0.327893115517516
"332",1961-02-24,"hope",0.496785437913763
"333",1961-03-24,"hope",0.656115842871178
"334",1961-04-21,"hope",0.169365361335744
"335",1961-05-19,"hope",0.451419715731285
"336",1961-06-16,"hope",0.409816125369168
"337",1961-07-14,"hope",0.319679474707378
"338",1961-08-11,"hope",0.244413084149215
"339",1961-09-08,"hope",0.0714629759708687
"340",1961-10-06,"hope",0.473396685586814
"341",1961-11-03,"hope",0.0554176873201113
"342",1961-12-01,"hope",0.215235168417702
"343",1961-12-29,"hope",0.113734137512212
"344",1962-01-26,"hope",0.118483308224362
"345",1962-02-23,"hope",0.887610220384057
"346",1962-03-23,"hope",0.866805842431273
"347",1962-04-20,"hope",0.744241560183407
"348",1962-05-18,"hope",0.118843634111014
"349",1962-06-15,"hope",0.570305218290894
"350",1962-07-13,"hope",0.449237061042538
"351",1962-08-10,"hope",0.738368931592844
"352",1962-09-07,"hope",0.811738577687285
"353",1962-10-05,"hope",0.741276185118841
"354",1962-11-02,"hope",0.831964238614264
"355",1962-11-30,"hope",0.883930353968023
"356",1962-12-28,"hope",0.207940922761641
"357",1963-01-25,"hope",0.159699415552277
"358",1963-02-22,"hope",0.28758769379583
"359",1963-03-22,"hope",0.34717751470656
"360",1963-04-19,"hope",0.346732766164769
"361",1963-05-17,"hope",0.119557378493104
"362",1963-06-14,"hope",0.451545720048694
"363",1963-07-12,"hope",0.634523161729702
"364",1963-08-09,"hope",0.35247587469809
"365",1963-09-06,"hope",0.730902562589594
"366",1963-10-04,"hope",0.464813161708181
"367",1963-11-01,"hope",0.803966970954167
"368",1963-11-29,"hope",0.740147346494324
"369",1963-12-27,"hope",0.217153322205081
"370",1964-01-24,"hope",0.381515159802003
"371",1964-02-21,"hope",0.365415187522434
"372",1964-03-20,"hope",0.283507491094992
"373",1964-04-17,"hope",0.556713401747576
"374",1964-05-15,"hope",0.248762151573917
"375",1964-06-12,"hope",0.233775473310992
"376",1964-07-10,"hope",0.554607840006926
"377",1964-08-07,"hope",0.176147380116211
"378",1964-09-04,"hope",0.596350025426154
"379",1964-10-02,"hope",0.701824048220301
"380",1964-10-30,"hope",0.0816570058238172
"381",1964-11-27,"hope",0.465295206140872
"382",1964-12-25,"hope",0.190104761287192
"383",1965-01-22,"hope",0.159726544681563
"384",1965-02-19,"hope",0.127876417655047
"385",1965-03-19,"hope",0.235511803262357
"386",1965-04-16,"hope",0.310774014654051
"387",1965-05-14,"hope",0.0772223403709012
"388",1965-06-11,"hope",0.441768143611829
"389",1965-07-09,"hope",0.593919906007208
"390",1965-08-06,"hope",0.576380364492647
"391",1965-09-03,"hope",0.400955822386741
"392",1965-10-01,"hope",0.331850445049923
"393",1965-10-29,"hope",0.0845521321342687
"394",1965-11-26,"hope",0.589396663214057
"395",1965-12-24,"hope",0.254424786809631
"396",1960-01-01,"pride",0.334904212099405
"397",1960-01-29,"pride",0.352090139503935
"398",1960-02-26,"pride",0.523702002475394
"399",1960-03-25,"pride",0.169879837283946
"400",1960-04-22,"pride",0.419255967981488
"401",1960-05-20,"pride",0.659919493950632
"402",1960-06-17,"pride",0.620278569678694
"403",1960-07-15,"pride",0.187412560788912
"404",1960-08-12,"pride",0.545943368480848
"405",1960-09-09,"pride",0.0601039881965422
"406",1960-10-07,"pride",0.0666572978339594
"407",1960-11-04,"pride",0.0561209680994218
"408",1960-12-02,"pride",0.151150872057009
"409",1960-12-30,"pride",0.151661858847168
"410",1961-01-27,"pride",0.290993731827943
"411",1961-02-24,"pride",0.441292470591939
"412",1961-03-24,"pride",0.322852388257207
"413",1961-04-21,"pride",0.17152224630408
"414",1961-05-19,"pride",0.45278109368676
"415",1961-06-16,"pride",0.362107325281832
"416",1961-07-14,"pride",0.32620109035057
"417",1961-08-11,"pride",0.350514688181126
"418",1961-09-08,"pride",0.0793182913303355
"419",1961-10-06,"pride",0.292217370283521
"420",1961-11-03,"pride",0.0938641735807759
"421",1961-12-01,"pride",0.235257398486402
"422",1961-12-29,"pride",0.203721172253355
"423",1962-01-26,"pride",0.277690055078958
"424",1962-02-23,"pride",0.723055500494431
"425",1962-03-23,"pride",0.653280870632557
"426",1962-04-20,"pride",0.639345107781956
"427",1962-05-18,"pride",0.105720131887857
"428",1962-06-15,"pride",0.427178213427367
"429",1962-07-13,"pride",0.626528053292875
"430",1962-08-10,"pride",0.314507971129067
"431",1962-09-07,"pride",0.478362159055965
"432",1962-10-05,"pride",0.286325165296485
"433",1962-11-02,"pride",0.586040224955228
"434",1962-11-30,"pride",0.594668791467532
"435",1962-12-28,"pride",0.128949195196907
"436",1963-01-25,"pride",0.206694152009427
"437",1963-02-22,"pride",0.376331666172679
"438",1963-03-22,"pride",0.240085599767511
"439",1963-04-19,"pride",0.496586596336573
"440",1963-05-17,"pride",0.24979073305993
"441",1963-06-14,"pride",0.427696617982268
"442",1963-07-12,"pride",0.387553934017648
"443",1963-08-09,"pride",0.222521347921077
"444",1963-09-06,"pride",0.518167351565451
"445",1963-10-04,"pride",0.629560268876019
"446",1963-11-01,"pride",0.685490678706113
"447",1963-11-29,"pride",0.703336146818987
"448",1963-12-27,"pride",0.360077340054954
"449",1964-01-24,"pride",0.265555632568587
"450",1964-02-21,"pride",0.414490341356928
"451",1964-03-20,"pride",0.266406364347853
"452",1964-04-17,"pride",0.308635316129557
"453",1964-05-15,"pride",0.28307208881739
"454",1964-06-12,"pride",0.17454998260783
"455",1964-07-10,"pride",0.341880872367841
"456",1964-08-07,"pride",0.0410893729721852
"457",1964-09-04,"pride",0.124378852095413
"458",1964-10-02,"pride",0.456074151881708
"459",1964-10-30,"pride",0.0890053956766156
"460",1964-11-27,"pride",0.329191572820719
"461",1964-12-25,"pride",0.104511870524119
"462",1965-01-22,"pride",0.0492428537259328
"463",1965-02-19,"pride",0.0901123500182294
"464",1965-03-19,"pride",0.140725301140265
"465",1965-04-16,"pride",0.28814720623869
"466",1965-05-14,"pride",0.184205107832881
"467",1965-06-11,"pride",0.218880522606749
"468",1965-07-09,"pride",0.445841449126214
"469",1965-08-06,"pride",0.251669070155364
"470",1965-09-03,"pride",0.135585393098233
"471",1965-10-01,"pride",0.230186032153354
"472",1965-10-29,"pride",0.116234774912134
"473",1965-11-26,"pride",0.37906992396302
"474",1965-12-24,"pride",0.172408606933531
"475",1960-01-01,"enthusiasm",0.0707290338287918
"476",1960-01-29,"enthusiasm",0.0927939495615814
"477",1960-02-26,"enthusiasm",0.166645239937726
"478",1960-03-25,"enthusiasm",0.163837244036939
"479",1960-04-22,"enthusiasm",0.127270590096477
"480",1960-05-20,"enthusiasm",0.163526586576898
"481",1960-06-17,"enthusiasm",0.153280093370787
"482",1960-07-15,"enthusiasm",0.164806521377546
"483",1960-08-12,"enthusiasm",0.161581271673994
"484",1960-09-09,"enthusiasm",0.192257192262164
"485",1960-10-07,"enthusiasm",0.21848476189451
"486",1960-11-04,"enthusiasm",0.113400328955765
"487",1960-12-02,"enthusiasm",0.206445513966393
"488",1960-12-30,"enthusiasm",0.0791002581855786
"489",1961-01-27,"enthusiasm",0.0958783737465759
"490",1961-02-24,"enthusiasm",0.309451601271015
"491",1961-03-24,"enthusiasm",0.465348430971448
"492",1961-04-21,"enthusiasm",0.0860625871764147
"493",1961-05-19,"enthusiasm",0.24557063406445
"494",1961-06-16,"enthusiasm",0.16681390147138
"495",1961-07-14,"enthusiasm",0.174711704154206
"496",1961-08-11,"enthusiasm",0.13575850255056
"497",1961-09-08,"enthusiasm",0.0913412232208213
"498",1961-10-06,"enthusiasm",0.308467360222369
"499",1961-11-03,"enthusiasm",0.0499008493046589
"500",1961-12-01,"enthusiasm",0.134634229519336
"501",1961-12-29,"enthusiasm",0.147629455766164
"502",1962-01-26,"enthusiasm",0.124091941721019
"503",1962-02-23,"enthusiasm",0.55009857969854
"504",1962-03-23,"enthusiasm",0.566781545606921
"505",1962-04-20,"enthusiasm",0.339192871101508
"506",1962-05-18,"enthusiasm",0.12091263679111
"507",1962-06-15,"enthusiasm",0.384055029924052
"508",1962-07-13,"enthusiasm",0.129757368511014
"509",1962-08-10,"enthusiasm",0.470205240391779
"510",1962-09-07,"enthusiasm",0.606243492177189
"511",1962-10-05,"enthusiasm",0.665090928300915
"512",1962-11-02,"enthusiasm",0.638076695560047
"513",1962-11-30,"enthusiasm",0.719217739464558
"514",1962-12-28,"enthusiasm",0.223158237844574
"515",1963-01-25,"enthusiasm",0.111943286603147
"516",1963-02-22,"enthusiasm",0.146626632307803
"517",1963-03-22,"enthusiasm",0.196555319678617
"518",1963-04-19,"enthusiasm",0.137318046583418
"519",1963-05-17,"enthusiasm",0.0896139967342931
"520",1963-06-14,"enthusiasm",0.255141116976123
"521",1963-07-12,"enthusiasm",0.434660237395366
"522",1963-08-09,"enthusiasm",0.196826912589752
"523",1963-09-06,"enthusiasm",0.277231764187835
"524",1963-10-04,"enthusiasm",0.151372840649397
"525",1963-11-01,"enthusiasm",0.759758157678012
"526",1963-11-29,"enthusiasm",0.311143901243099
"527",1963-12-27,"enthusiasm",0.0913019044869734
"528",1964-01-24,"enthusiasm",0.242975078664835
"529",1964-02-21,"enthusiasm",0.261286259280228
"530",1964-03-20,"enthusiasm",0.144255961173647
"531",1964-04-17,"enthusiasm",0.317481109821189
"532",1964-05-15,"enthusiasm",0.138023303201514
"533",1964-06-12,"enthusiasm",0.298775561580141
"534",1964-07-10,"enthusiasm",0.336817859726166
"535",1964-08-07,"enthusiasm",0.198738238762378
"536",1964-09-04,"enthusiasm",0.472830376042454
"537",1964-10-02,"enthusiasm",0.428074479966567
"538",1964-10-30,"enthusiasm",0.129747777439104
"539",1964-11-27,"enthusiasm",0.563407289127167
"540",1964-12-25,"enthusiasm",0.116970597124202
"541",1965-01-22,"enthusiasm",0.136749548617816
"542",1965-02-19,"enthusiasm",0.183952600900996
"543",1965-03-19,"enthusiasm",0.22452035960283
"544",1965-04-16,"enthusiasm",0.245826214380416
"545",1965-05-14,"enthusiasm",0.18912739427866
"546",1965-06-11,"enthusiasm",0.415984592007096
"547",1965-07-09,"enthusiasm",0.291410259834999
"548",1965-08-06,"enthusiasm",0.498917471145501
"549",1965-09-03,"enthusiasm",0.198299710408562
"550",1965-10-01,"enthusiasm",0.233699527034951
"551",1965-10-29,"enthusiasm",0.18075963262943
"552",1965-11-26,"enthusiasm",0.256825363496444
"553",1965-12-24,"enthusiasm",0.413529238593353
