"age","gender","pre_ideology_1","pre_economic_situation","pre_political_interest","pre_religion_importance","total_museums","pre_conf_gov","pre_inst_gov","pre_current_ineq","pre_positive","pre_negative","treatmentgroup","f3","democracy"
19,1,6,2,3,1,6,1,0,4,26,10,0,1,1
22,1,0,2,1,2,3,0,0,4,19,3,0,0,0
20,2,7,3,2,2,6,2,0,4,29,3,1,1,2
20,1,7,2,1,3,2,2,1,4,8,1,1,1,2
21,2,6,2,1,1,4,1,0,4,18,16,1,1,1
25,1,7,2,0,3,NA,0,0,4,3,1,1,1,1
21,1,1,3,3,0,7,2,0,4,16,2,0,1,1
21,2,5,3,1,2,3,1,0,4,22,5,1,1,2
20.98846154,1,4,2,2,1,10,0,0,4,31,13,0,1,0
20,2,2,3,2,2,5,2,0,4,26,5,1,0,2
20,2,3,4,1,3,5,1,0,4,12,5,1,1,1
21,1,6,3,1,1,2,1,0,4,20,3,0,0,2
20,1,4,2,2,1,4,1,0,4,26,14,0,0,1
19,2,2,3,2,2,8,1,0,4,32,10,1,1,1
19,1,7,3,1,0,1,0,0,3,25,7,1,0,1
22,2,5,2,1,2,4,1,0,4,27,7,0,0,1
21,2,7,3,1,0,6,0,0,4,10,1,1,0,1
21,1,2,2,2,2,8,1,0,4,32,8,1,0,0
21,1,4,3,2,3,7,1,0,4,14,5,0,0,1
20,2,5,2,1,1,4,0,0,4,29,3,0,0,1
20,1,3,2,2,1,3,0,0,4,2,0,0,0,1
21,1,2,2,3,0,5,0,0,4,25,3,1,1,1
21,2,5,3,1,3,6,1,0,4,21,4,1,1,1
19,1,5,2,0,1,1,1,0,3,15,4,1,1,2
19,1,5,2,1,3,NA,1,0,3,16,26,0,0,1
20,2,10,2,2,3,2,1,0,4,12,11,1,1,1
21,1,5,4,1,0,2,0,0,4,29,16,1,0,2
21,1,7,4,2,3,7,1,0,3,21,7,1,1,1
18,2,5,2,1,3,10,3,1,4,13,6,0,0,3
21,1,8,3,3,3,4,1,0,4,25,12,0,0,1
21,1,4,2,1,3,2,1,0,3,9,4,1,0,1
24,2,6,3,1,3,5,1,0,4,27,3,1,1,2
21,2,4,2,1,1,7,0,0,4,26,2,0,0,1
21,2,5,2,1,3,5,1,0,4,22,13,0,1,1
